,kepid,kepoi_name,kepler_name,koi_kepmag,system,# TTV,# non TTV,size_sys,circumbinary_flag,# stars,eccentricity,eccentric?
322,6616218,K01692.01,Kepler-314 c,12.557,Kepler-314,0,2,2,0,1,"[None, None]",False
323,4770365,K01475.01,Kepler-1669 c,15.937,Kepler-1669,0,3,3,0,1,"[None, None, 0.0]",False
324,5289854,K01593.02,Kepler-308 c,15.809,Kepler-308,0,2,2,0,1,"[None, None]",False
325,7220429,K01700.01,Kepler-931 b,14.471,Kepler-931,0,1,1,0,1,[None],False
328,7522911,K01705.01,Kepler-1670 b,15.442,Kepler-1670,0,1,1,0,1,[None],False
329,7626370,K01706.01,Kepler-932 b,14.131,Kepler-932,0,1,1,0,1,[None],False
330,9597806,K01481.01,Kepler-860 b,15.455,Kepler-860,0,1,1,0,1,[None],False
332,8230616,K01713.01,Kepler-316 c,15.224,Kepler-316,0,2,2,0,1,"[None, None]",False
333,11402995,K00173.01,Kepler-481 b,13.844,Kepler-481,0,1,1,0,1,[None],False
334,7747425,K01952.04,Kepler-341 e,14.601,Kepler-341,0,4,4,0,1,"[None, None, None, None]",False
335,4813563,K01959.01,Kepler-1026 b,14.254,Kepler-1026,0,1,1,0,1,[None],False
337,9790806,K02035.01,Kepler-1066 b,13.007,Kepler-1066,0,1,1,0,1,[None],False
338,5375194,K01825.01,Kepler-964 b,13.895,Kepler-964,0,1,1,0,1,[None],False
339,7449136,K01890.01,Kepler-1002 b,11.704,Kepler-1002,0,1,1,0,1,[None],False
340,8680979,K01891.01,Kepler-330 c,15.261,Kepler-330,0,2,2,0,1,"[None, None]",False
341,6949061,K01960.01,Kepler-343 b,14.128,Kepler-343,0,2,2,0,1,"[None, None]",False
343,11657891,K01965.01,Kepler-1028 b,14.325,Kepler-1028,0,1,1,0,1,[None],False
346,3326377,K01830.01,Kepler-967 b,14.443,Kepler-967,0,2,2,0,1,"[None, None]",False
348,8689793,K01893.01,Kepler-1003 b,14.053,Kepler-1003,0,1,1,0,1,[None],False
349,4263293,K01895.01,Kepler-331 b,15.862,Kepler-331,0,3,3,0,1,"[None, None, None]",False
350,4263293,K01895.02,Kepler-331 c,15.862,Kepler-331,0,3,3,0,1,"[None, None, None]",False
351,6205897,K01967.01,Kepler-1029 b,14.31,Kepler-1029,0,1,1,0,1,[None],False
352,9650808,K01970.01,Kepler-344 b,15.378,Kepler-344,0,2,2,0,1,"[None, None]",False
354,11853878,K01833.01,Kepler-968 b,14.265,Kepler-968,0,2,2,0,1,"[None, None]",False
355,7668663,K01898.01,Kepler-1005 b,13.25,Kepler-1005,0,1,1,0,1,[None],False
356,9353314,K01900.01,Kepler-1007 b,14.744,Kepler-1007,0,1,1,0,1,[None],False
357,9347009,K01971.01,Kepler-1030 b,15.719,Kepler-1030,0,1,1,0,1,[None],False
358,4917596,K01973.01,Kepler-1032 b,15.753,Kepler-1032,0,1,1,0,1,[None],False
359,6026438,K02045.01,Kepler-354 b,15.549,Kepler-354,0,3,3,0,1,"[None, None, None]",False
360,9471268,K01835.01,Kepler-326 c,13.693,Kepler-326,0,3,3,0,1,"[None, None, None]",False
361,9471268,K01835.02,Kepler-326 b,13.693,Kepler-326,0,3,3,0,1,"[None, None, None]",False
362,9471268,K01835.03,Kepler-326 d,13.693,Kepler-326,0,3,3,0,1,"[None, None, None]",False
363,10657406,K01837.01,Kepler-969 b,13.733,Kepler-969,0,2,2,0,1,"[None, None]",False
365,10328393,K01905.01,Kepler-332 b,14.017,Kepler-332,0,3,3,0,1,"[None, None, None]",False
366,7094486,K01907.01,Kepler-1009 b,15.278,Kepler-1009,0,1,1,0,1,[None],False
367,2693736,K01976.01,Kepler-1034 b,15.09,Kepler-1034,0,1,1,0,1,[None],False
368,9412760,K01977.01,Kepler-345 c,14.028,Kepler-345,0,2,2,0,1,"[None, None]",False
369,9412760,K01977.02,Kepler-345 b,14.028,Kepler-345,0,2,2,0,1,"[None, None]",False
370,11457726,K02047.01,Kepler-1070 b,13.977,Kepler-1070,0,1,1,0,1,[None],False
371,8956206,K02048.01,Kepler-1071 b,15.801,Kepler-1071,0,1,1,0,1,[None],False
372,9649706,K02049.01,Kepler-1072 b,13.93,Kepler-1072,0,1,1,0,1,[None],False
375,10130039,K01909.02,Kepler-334 b,12.776,Kepler-334,0,3,3,0,1,"[None, None, None]",False
377,6862721,K01982.01,Kepler-1781 b,15.768,Kepler-1781,0,1,1,0,1,[None],False
378,9279354,K02060.01,Kepler-1788 b,15.229,Kepler-1788,0,1,1,0,1,[None],False
379,6774880,K02062.01,Kepler-1077 b,14.998,Kepler-1077,0,1,1,0,1,[None],False
380,7449541,K02063.01,Kepler-1078 b,15.62,Kepler-1078,0,1,1,0,1,[None],False
381,5080636,K01843.01,Kepler-974 b,14.404,Kepler-974,0,1,1,0,1,[None],False
382,6776401,K01847.01,Kepler-977 b,14.812,Kepler-977,0,1,1,0,1,[None],False
383,9704384,K01913.01,Kepler-1012 b,13.317,Kepler-1012,0,1,1,0,1,[None],False
384,8142942,K01985.01,Kepler-1782 b,13.708,Kepler-1782,0,1,1,0,1,[None],False
385,7132798,K00220.02,Kepler-119 c,14.236,Kepler-119,0,12,12,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None]",False
386,9735426,K01849.01,Kepler-979 b,14.624,Kepler-979,0,1,1,0,1,[None],False
387,8826168,K01850.01,Kepler-980 b,14.138,Kepler-980,0,1,1,0,1,[None],False
388,10464050,K01851.01,Kepler-981 b,14.769,Kepler-981,0,1,1,0,1,[None],False
389,9763348,K01852.01,Kepler-982 b,13.205,Kepler-982,0,1,1,0,1,[None],False
390,6037581,K01916.01,Kepler-336 d,13.598,Kepler-336,0,3,3,0,1,"[None, None, None]",False
391,6037581,K01916.02,Kepler-336 c,13.598,Kepler-336,0,3,3,0,1,"[None, None, None]",False
392,11614617,K01990.01,Kepler-1041 b,14.49,Kepler-1041,0,1,1,0,1,[None],False
393,11450414,K01992.01,Kepler-347 b,14.513,Kepler-347,0,3,3,0,1,"[None, None, 0.0]",False
394,4736569,K01996.01,Kepler-1042 b,15.629,Kepler-1042,0,1,1,0,1,[None],False
395,10384798,K01997.01,Kepler-1043 b,14.777,Kepler-1043,0,1,1,0,1,[None],False
396,10134152,K02056.01,Kepler-1787 b,14.476,Kepler-1787,0,1,1,0,1,[None],False
397,9573685,K02057.01,Kepler-1074 b,15.026,Kepler-1074,0,1,1,0,1,[None],False
398,10329835,K02058.01,Kepler-1075 b,15.313,Kepler-1075,0,1,1,0,1,[None],False
399,8218379,K01920.01,Kepler-1014 b,14.64,Kepler-1014,0,1,1,0,1,[None],False
400,9411166,K01922.01,Kepler-1016 b,15.356,Kepler-1016,0,2,2,0,1,"[None, None]",False
401,4989057,K01923.01,Kepler-1017 b,14.139,Kepler-1017,0,1,1,0,1,[None],False
402,9834040,K01998.01,Kepler-1044 b,15.368,Kepler-1044,0,1,1,0,1,[None],False
403,8802693,K02000.01,Kepler-1045 b,15.593,Kepler-1045,0,1,1,0,1,[None],False
404,6061773,K02001.01,Kepler-1783 b,13.115,Kepler-1783,0,1,1,0,1,[None],False
405,10024701,K02002.01,Kepler-1046 b,13.286,Kepler-1046,0,1,1,0,1,[None],False
409,10136549,K01929.01,Kepler-337 c,12.727,Kepler-337,0,2,2,0,1,"[None, None]",False
410,6665512,K02005.01,Kepler-1048 b,14.832,Kepler-1048,0,1,1,0,1,[None],False
411,10525027,K02006.01,Kepler-1049 b,14.22,Kepler-1049,0,1,1,0,1,[None],False
412,11126381,K01863.01,Kepler-1673 b,13.631,Kepler-1673,0,1,1,0,1,[None],False
413,4149450,K01864.01,Kepler-1772 b,13.405,Kepler-1772,0,1,1,0,1,[None],False
414,10978763,K01931.01,Kepler-339 b,14.531,Kepler-339,0,3,3,0,1,"[None, None, None]",False
415,10676014,K01797.01,Kepler-954 b,12.971,Kepler-954,0,1,1,0,1,[None],False
416,8167996,K01867.01,Kepler-327 b,15.018,Kepler-327,0,3,3,0,1,"[None, None, None]",False
417,8167996,K01867.02,Kepler-327 d,15.018,Kepler-327,0,3,3,0,1,"[None, None, None]",False
418,8167996,K01867.03,Kepler-327 c,15.018,Kepler-327,0,3,3,0,1,"[None, None, None]",False
419,6773862,K01868.01,Kepler-988 b,15.22,Kepler-988,0,1,1,0,1,[None],False
420,4056616,K02013.01,Kepler-1053 b,13.156,Kepler-1053,0,1,1,0,1,[None],False
421,8492026,K02016.01,Kepler-1054 b,14.136,Kepler-1054,0,1,1,0,1,[None],False
422,11298298,K01802.01,Kepler-956 b,13.345,Kepler-956,0,1,1,0,1,[None],False
423,10187159,K01870.01,Kepler-989 b,14.425,Kepler-989,0,1,1,0,1,[None],False
424,9651234,K01938.01,Kepler-1020 b,14.031,Kepler-1020,0,1,1,0,1,[None],False
425,7045496,K01939.01,Kepler-1021 b,15.164,Kepler-1021,0,1,1,0,1,[None],False
426,8750043,K02017.01,Kepler-1055 b,13.09,Kepler-1055,0,1,1,0,1,[None],False
427,9973109,K02018.01,Kepler-1056 b,14.55,Kepler-1056,0,1,1,0,1,[None],False
428,6226290,K02019.01,Kepler-1057 b,15.624,Kepler-1057,0,1,1,0,1,[None],False
429,4644952,K01805.01,Kepler-319 c,13.828,Kepler-319,0,3,3,0,1,"[None, None, None]",False
430,4644952,K01805.02,Kepler-319 d,13.828,Kepler-319,0,3,3,0,1,"[None, None, None]",False
431,4644952,K01805.03,Kepler-319 b,13.828,Kepler-319,0,3,3,0,1,"[None, None, None]",False
432,8978528,K01874.01,Kepler-329 c,15.434,Kepler-329,0,2,2,0,1,"[None, None]",False
433,8978528,K01874.02,Kepler-329 b,15.434,Kepler-329,0,2,2,0,1,"[None, None]",False
434,9967771,K01875.01,Kepler-990 b,14.498,Kepler-990,0,2,2,0,1,"[None, None]",False
435,10454632,K01877.01,Kepler-992 b,13.389,Kepler-992,0,1,1,0,1,[None],False
436,10005788,K01940.01,Kepler-1022 b,15.389,Kepler-1022,0,1,1,0,1,[None],False
437,2832589,K01942.01,Kepler-1978 b,15.409,Kepler-1978,0,1,1,0,1,[0.0],False
438,2438513,K01944.01,Kepler-1777 b,13.982,Kepler-1777,0,1,1,0,1,[None],False
439,6356207,K02021.01,Kepler-1059 b,15.484,Kepler-1059,0,1,1,0,1,[None],False
440,8564674,K02022.01,Kepler-349 b,14.746,Kepler-349,0,2,2,0,1,"[None, None]",False
441,8564674,K02022.02,Kepler-349 c,14.746,Kepler-349,0,2,2,0,1,"[None, None]",False
442,9455325,K01813.01,Kepler-958 b,13.766,Kepler-958,0,1,1,0,1,[None],False
443,10332883,K01880.01,Kepler-994 b,14.44,Kepler-994,0,1,1,0,1,[None],False
444,11923284,K02026.01,Kepler-1061 b,13.263,Kepler-1061,0,1,1,0,1,[None],False
445,7870032,K01818.01,Kepler-961 b,14.101,Kepler-961,0,1,1,0,1,[None],False
446,9597058,K01819.01,Kepler-962 b,13.576,Kepler-962,0,1,1,0,1,[None],False
447,4035640,K01881.01,Kepler-995 b,14.907,Kepler-995,0,1,1,0,1,[None],False
448,6205228,K01882.01,Kepler-996 b,14.668,Kepler-996,0,1,1,0,1,[None],False
449,7747425,K01952.03,Kepler-341 b,14.601,Kepler-341,0,4,4,0,1,"[None, None, None, None]",False
450,9489524,K02029.01,Kepler-352 c,12.957,Kepler-352,0,3,3,0,1,"[None, None, None]",False
451,9489524,K02029.02,Kepler-352 b,12.957,Kepler-352,0,3,3,0,1,"[None, None, None]",False
452,5940165,K02031.01,Kepler-1062 b,14.796,Kepler-1062,0,1,1,0,1,[None],False
453,8277797,K01820.01,Kepler-322 c,13.53,Kepler-322,0,2,2,0,1,"[None, None]",False
454,2989404,K01824.01,Kepler-323 c,12.722,Kepler-323,0,2,2,0,1,"[0.095, 0.095]",False
455,2989404,K01824.02,Kepler-323 b,12.722,Kepler-323,0,2,2,0,1,"[0.095, 0.095]",False
456,11413812,K01885.01,Kepler-998 b,14.377,Kepler-998,0,1,1,0,1,[None],False
457,9549648,K01886.01,Kepler-999 b,12.239,Kepler-999,0,1,1,0,1,[None],False
458,8959839,K02253.01,Kepler-1159 b,14.574,Kepler-1159,0,1,1,0,1,[None],False
459,5599774,K02337.01,Kepler-1195 b,15.888,Kepler-1195,0,1,1,0,1,[None],False
460,7033233,K02339.01,Kepler-1197 b,15.13,Kepler-1197,0,1,1,0,1,[None],False
461,4545187,K00223.01,Kepler-121 b,14.708,Kepler-121,0,12,12,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None]",False
462,10854546,K02104.01,Kepler-1099 b,15.141,Kepler-1099,0,1,1,0,1,[None],False
463,9112931,K02256.01,Kepler-1161 b,15.813,Kepler-1161,0,1,1,0,1,[None],False
464,9071593,K02257.01,Kepler-1162 b,15.48,Kepler-1162,0,2,2,0,1,"[None, 0.0]",False
465,8126558,K02259.01,Kepler-1815 b,15.364,Kepler-1815,0,1,1,0,1,[None],False
466,11811193,K02260.01,Kepler-1163 b,12.168,Kepler-1163,0,1,1,0,1,[None],False
467,8681734,K02340.01,Kepler-1198 b,14.776,Kepler-1198,0,1,1,0,1,[None],False
468,10212441,K02342.01,Kepler-1199 b,13.037,Kepler-1199,0,1,1,0,1,[None],False
469,8165946,K02105.01,Kepler-1100 b,13.862,Kepler-1100,0,1,1,0,1,[None],False
470,12017109,K02106.01,Kepler-1679 b,15.158,Kepler-1679,0,1,1,0,1,[None],False
471,11499228,K02109.01,Kepler-1103 b,14.09,Kepler-1103,0,1,1,0,1,[None],False
472,10965588,K02177.01,Kepler-1132 b,15.481,Kepler-1132,0,1,1,0,1,[None],False
473,6200235,K02350.01,Kepler-1205 b,15.143,Kepler-1205,0,1,1,0,1,[None],False
474,8612275,K02111.01,Kepler-360 b,14.866,Kepler-360,0,2,2,0,1,"[None, None]",False
475,8612275,K02111.02,Kepler-360 c,14.866,Kepler-360,0,2,2,0,1,"[None, None]",False
477,4545187,K00223.02,Kepler-121 c,14.708,Kepler-121,0,12,12,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None]",False
478,5706595,K02183.01,Kepler-370 c,15.198,Kepler-370,0,2,2,0,1,"[None, None]",False
479,5706595,K02183.02,Kepler-370 b,15.198,Kepler-370,0,2,2,0,1,"[None, None]",False
480,10489345,K02266.01,Kepler-1167 b,15.942,Kepler-1167,0,1,1,0,1,[None],False
481,1872821,K02351.01,Kepler-1828 b,14.909,Kepler-1828,0,1,1,0,1,[None],False
482,8013439,K02352.01,Kepler-381 c,10.421,Kepler-381,0,3,3,0,1,"[None, None, None]",False
483,8013439,K02352.02,Kepler-381 b,10.421,Kepler-381,0,3,3,0,1,"[None, None, None]",False
484,8013439,K02352.03,Kepler-381 d,10.421,Kepler-381,0,3,3,0,1,"[None, None, None]",False
486,6921944,K02114.01,Kepler-1105 b,15.18,Kepler-1105,0,1,1,0,1,[None],False
487,8164012,K02116.01,Kepler-1106 b,14.69,Kepler-1106,0,1,1,0,1,[None],False
488,4140813,K02117.01,Kepler-1795 b,15.637,Kepler-1795,0,1,1,0,1,[None],False
489,5601258,K02191.01,Kepler-1805 b,14.911,Kepler-1805,0,1,1,0,1,[None],False
490,8107225,K00235.01,Kepler-499 b,14.353,Kepler-499,0,1,1,0,1,[None],False
491,3458028,K02276.01,Kepler-1171 b,11.558,Kepler-1171,0,1,1,0,1,[None],False
492,11288051,K00241.01,Kepler-124 c,14.139,Kepler-124,0,14,14,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None]",False
493,11566256,K02361.01,Kepler-1831 b,15.049,Kepler-1831,0,1,1,0,1,[None],False
494,4055304,K02119.01,Kepler-1107 b,14.098,Kepler-1107,0,1,1,0,1,[None],False
495,4857213,K02120.01,Kepler-1680 b,13.714,Kepler-1680,0,1,1,0,1,[None],False
496,8591693,K02123.01,Kepler-1796 b,14.385,Kepler-1796,0,1,1,0,1,[None],False
497,8282651,K02193.01,Kepler-1136 b,15.658,Kepler-1136,0,1,1,0,1,[None],False
498,10909127,K02200.01,Kepler-1138 b,15.353,Kepler-1138,0,1,1,0,1,[None],False
499,3661886,K02279.01,Kepler-377 c,13.86,Kepler-377,0,2,2,0,1,"[None, None]",False
500,6751874,K02282.01,Kepler-1174 b,14.207,Kepler-1174,0,1,1,0,1,[None],False
501,5602588,K02369.01,Kepler-1211 b,15.832,Kepler-1211,0,1,1,0,1,[None],False
502,9405595,K02125.01,Kepler-1797 b,15.347,Kepler-1797,0,1,1,0,1,[None],False
503,3546060,K02126.01,Kepler-1110 b,15.914,Kepler-1110,0,1,1,0,1,[None],False
504,4144576,K02202.01,Kepler-1139 b,14.113,Kepler-1139,0,1,1,0,1,[None],False
505,9992325,K02205.01,Kepler-1140 b,15.464,Kepler-1140,0,1,1,0,1,[None],False
506,9945370,K02285.01,Kepler-1175 b,15.939,Kepler-1175,0,1,1,0,1,[None],False
507,8973129,K02286.01,Kepler-1176 b,15.056,Kepler-1176,0,1,1,0,1,[None],False
508,12505654,K02353.01,Kepler-1829 b,14.988,Kepler-1829,0,1,1,0,1,[None],False
509,11670125,K02355.01,Kepler-1206 b,15.975,Kepler-1206,0,1,1,0,1,[None],False
510,9351920,K02129.01,Kepler-1111 b,15.159,Kepler-1111,0,1,1,0,1,[None],False
511,2161536,K02130.01,Kepler-1798 b,15.661,Kepler-1798,0,1,1,0,1,[None],False
512,10549023,K02131.01,Kepler-1112 b,14.612,Kepler-1112,0,1,1,0,1,[None],False
513,10531955,K02208.01,Kepler-1141 b,12.589,Kepler-1141,0,1,1,0,1,[None],False
515,7457296,K02213.01,Kepler-1145 b,15.443,Kepler-1145,0,1,1,0,1,[None],False
516,4248120,K02216.01,Kepler-1808 b,15.23,Kepler-1808,0,1,1,0,1,[None],False
517,8321314,K02293.01,Kepler-1683 b,14.837,Kepler-1683,0,1,1,0,1,[None],False
518,8041216,K00237.01,Kepler-500 b,14.176,Kepler-500,0,1,1,0,1,[None],False
519,8233702,K02140.01,Kepler-1116 b,15.265,Kepler-1116,0,1,1,0,1,[None],False
520,8381204,K02145.01,Kepler-1119 b,15.06,Kepler-1119,0,1,1,0,1,[None],False
521,12058204,K02218.01,Kepler-373 b,14.514,Kepler-373,0,2,2,0,1,"[None, None]",False
523,6871071,K02220.01,Kepler-374 c,14.686,Kepler-374,0,3,3,0,1,"[None, None, None]",False
524,5342473,K02297.01,Kepler-1818 b,14.338,Kepler-1818,0,1,1,0,1,[None],False
525,12058147,K02072.01,Kepler-1082 b,13.38,Kepler-1082,0,1,1,0,1,[None],False
526,8164257,K02073.02,Kepler-357 b,15.565,Kepler-357,0,3,3,0,1,"[None, None, None]",False
527,6774537,K02146.01,Kepler-1120 b,15.333,Kepler-1120,0,1,1,0,1,[None],False
529,5959753,K00226.01,Kepler-496 b,14.817,Kepler-496,0,1,1,0,1,[None],False
530,6021193,K02148.01,Kepler-363 d,13.353,Kepler-363,0,3,3,0,1,"[None, None, None]",False
531,6021193,K02148.02,Kepler-363 c,13.353,Kepler-363,0,3,3,0,1,"[None, None, None]",False
532,6871071,K02220.03,Kepler-374 b,14.686,Kepler-374,0,3,3,0,1,"[None, None, None]",False
533,9278725,K02223.01,Kepler-1148 b,15.277,Kepler-1148,0,1,1,0,1,[None],False
534,4458082,K02303.01,Kepler-1181 b,13.827,Kepler-1181,0,2,2,0,1,"[None, 0.0]",False
535,3937519,K00221.02,Kepler-495 c,14.622,Kepler-495,0,2,2,0,1,"[None, None]",False
538,7219825,K00238.01,Kepler-123 b,14.061,Kepler-123,0,12,12,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None]",False
539,3749978,K02308.01,Kepler-1183 b,15.778,Kepler-1183,0,1,1,0,1,[None],False
540,11718144,K02310.01,Kepler-1821 b,14.64,Kepler-1821,0,1,1,0,1,[None],False
542,12505076,K02154.01,Kepler-1799 b,15.844,Kepler-1799,0,1,1,0,1,[None],False
543,12116380,K02155.01,Kepler-1123 b,14.822,Kepler-1123,0,1,1,0,1,[None],False
544,2556650,K02156.01,Kepler-1124 b,15.959,Kepler-1124,0,1,1,0,1,[None],False
545,4473226,K02229.01,Kepler-1682 b,15.707,Kepler-1682,0,1,1,0,1,[None],False
546,10132832,K02313.01,Kepler-1186 b,15.306,Kepler-1186,0,1,1,0,1,[None],False
547,3219995,K02314.01,Kepler-1187 b,14.562,Kepler-1187,0,1,1,0,1,[None],False
548,7504778,K02316.01,Kepler-1188 b,15.004,Kepler-1188,0,1,1,0,1,[None],False
549,7097965,K02083.01,Kepler-1791 b,13.516,Kepler-1791,0,1,1,0,1,[None],False
550,4249725,K00222.01,Kepler-120 b,14.735,Kepler-120,0,12,12,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None]",False
551,5546761,K02160.01,Kepler-1125 b,14.874,Kepler-1125,0,1,1,0,1,[None],False
554,11495458,K02318.01,Kepler-1190 b,14.471,Kepler-1190,0,1,1,0,1,[None],False
555,11348997,K02090.01,Kepler-1089 b,15.535,Kepler-1089,0,1,1,0,1,[None],False
556,5705819,K02091.01,Kepler-1793 b,15.789,Kepler-1793,0,1,1,0,1,[None],False
557,7204981,K02164.01,Kepler-1127 b,15.162,Kepler-1127,0,1,1,0,1,[None],False
558,4770617,K02243.01,Kepler-1154 b,14.806,Kepler-1154,0,2,2,0,1,"[None, None]",False
559,4454934,K02245.01,Kepler-1155 b,14.74,Kepler-1155,0,1,1,0,1,[None],False
560,9458343,K02246.01,Kepler-1156 b,14.152,Kepler-1156,0,1,1,0,1,[None],False
561,7120108,K02325.01,Kepler-1825 b,14.413,Kepler-1825,0,1,1,0,1,[None],False
562,10730703,K02327.01,Kepler-1191 b,15.378,Kepler-1191,0,1,1,0,1,[None],False
563,4249725,K00222.02,Kepler-120 c,14.735,Kepler-120,0,12,12,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None]",False
564,11308499,K02168.02,Kepler-366 c,14.842,Kepler-366,0,2,2,0,1,"[None, None]",False
565,7802719,K02247.01,Kepler-1157 b,14.374,Kepler-1157,0,1,1,0,1,[None],False
566,10024051,K02409.01,Kepler-1228 b,14.859,Kepler-1228,0,1,1,0,1,[None],False
567,3234598,K02413.01,Kepler-383 b,15.07,Kepler-383,0,2,2,0,1,"[None, None]",False
569,6605493,K02559.01,Kepler-1686 b,13.799,Kepler-1686,0,1,1,0,1,[None],False
570,7259298,K02561.01,Kepler-1278 b,13.658,Kepler-1278,0,1,1,0,1,[None],False
571,3234598,K02413.02,Kepler-383 c,15.07,Kepler-383,0,2,2,0,1,"[None, None]",False
572,5621586,K02415.01,Kepler-1836 b,15.659,Kepler-1836,0,1,1,0,1,[None],False
573,9210387,K02416.01,Kepler-1837 b,15.466,Kepler-1837,0,1,1,0,1,[None],False
574,11852982,K00247.01,Kepler-1712 b,14.216,Kepler-1712,0,1,1,0,1,[None],False
575,3122913,K02490.01,Kepler-1845 b,15.701,Kepler-1845,0,1,1,0,1,[None],False
576,9229657,K02491.01,Kepler-1257 b,15.553,Kepler-1257,0,1,1,0,1,[None],False
577,9654468,K02417.01,Kepler-1684 b,16.22,Kepler-1684,0,1,1,0,1,[None],False
579,11752632,K02492.01,Kepler-1258 b,13.835,Kepler-1258,0,1,1,0,1,[None],False
580,10028535,K02493.01,Kepler-1259 b,15.304,Kepler-1259,0,1,1,0,1,[None],False
581,7047207,K02494.01,Kepler-1260 b,14.838,Kepler-1260,0,1,1,0,1,[None],False
583,11360805,K02422.01,Kepler-1232 b,14.803,Kepler-1232,0,1,1,0,1,[None],False
584,9845898,K02423.01,Kepler-1233 b,14.689,Kepler-1233,0,1,1,0,1,[None],False
586,7021681,K00255.01,Kepler-505 b,15.108,Kepler-505,0,1,1,0,1,[None],False
